Price,Close,High,Low,Open,Volume
Ticker,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS
Date,,,,,
2021-02-25,541.693603515625,550.5096732354016,539.8716301226096,548.6533816456417,15845950
2021-02-26,515.7302856445312,534.2538616097582,511.4299882967802,531.9028857135835,37133260
2021-03-01,515.9164428710938,526.0157391048767,508.8831848536207,520.6379456202106,20318810
2021-03-02,520.7653198242188,529.9438245345184,515.4512000847383,519.1686266234653,22086340
2021-03-03,542.962158203125,545.9449717085294,523.0966441722534,525.4524629847098,22524130
2021-03-04,537.3787231445312,545.3376759358835,529.0621794829486,531.9029373174461,22346980
2021-03-05,533.3624877929688,540.6945057911047,529.1699873601093,532.8825112734959,20757600
2021-03-08,521.1913452148438,538.1671938014017,520.2460403316766,535.723188171517,17210420
2021-03-09,530.4384765625,533.3722641229988,522.5970668679887,526.1234711454158,18114960
2021-03-10,543.1727905273438,544.7351654022267,532.8824725564418,532.8824725564418,21912500
2021-03-12,544.4265747070312,555.4124036718284,540.8168862563375,548.5554604166207,25080130
2021-03-15,532.7894897460938,547.149863691272,524.1203172957447,545.7196795232102,20870080
2021-03-16,534.4448852539062,539.4455972605721,530.9233833924673,537.6284664273851,15613050
2021-03-17,525.0263671875,534.8807725096622,523.5227636889164,534.8416114976309,11347580
2021-03-18,526.2067260742188,543.1678675581927,519.6583475917425,531.2171829510203,23390580
2021-03-19,534.180419921875,536.7028076196058,508.398304210923,520.7358764632384,32203100
2021-03-22,527.9209594726562,538.4659730414261,522.7929598026743,533.5191901955052,19384610
2021-03-23,526.8875732421875,533.3722782516812,524.0664258303938,529.9438063069964,18490380
2021-03-24,516.25927734375,526.4173440338014,515.2502984414339,526.4173440338014,17376430
2021-03-25,501.751953125,519.1686196678539,499.8859158741555,517.2094928011828,23432710
2021-03-26,507.712646484375,514.074906556049,503.00585109896963,506.4343233070444,23474600
2021-03-30,508.7410888671875,515.2503062599246,504.475109741181,512.7866901613398,18452800
2021-03-31,504.4604187011719,511.21452714826114,501.8253908916279,507.9035982340296,18459750
2021-04-01,516.4405517578125,518.0420877183769,505.6457438005256,510.3525388315273,21482340
2021-04-05,486.1083068847656,515.1523837956208,482.0039341036371,515.1523837956208,37396800
2021-04-06,489.1058044433594,495.6052172425688,485.138584585653,494.67952264446967,20709060
2021-04-07,497.3341064453125,500.4589159634555,483.9043011146301,487.82255456495096,24027820
2021-04-08,492.67138671875,501.04664119763123,491.2510079386355,499.5772962087819,14078790
2021-04-09,477.2726745605469,490.7612514893784,474.59845578164436,489.7816881131521,29026460
2021-04-12,441.8810729980469,464.3130697564446,431.00791285408354,464.3130697564446,45000460
2021-04-13,463.21099853515625,467.73167362835176,442.17977315002713,444.24176467189767,31750190
2021-04-15,456.50592041015625,465.29260511728506,447.27842022482923,461.18823216694886,28971850
2021-04-16,452.2252197265625,459.4152111279493,449.61957762841945,456.57448339186584,21426480
2021-04-19,438.80517578125,441.19531266988173,427.28553148363966,435.9056767288066,34265070
2021-04-20,451.93621826171875,460.29679472406394,446.21066950242135,446.9747276906794,33945970
2021-04-22,459.28790283203125,461.7661971259974,441.36680653527765,445.7013627761435,25635390
2021-04-23,457.2406005859375,466.2525957826938,451.62769156754683,452.6660263753332,27295250
2021-04-26,463.9750671386719,473.03112532711816,459.41520104051824,459.41520104051824,29039890
2021-04-27,476.5625305175781,478.99182878986693,464.9546974250893,464.99879093453535,26449970
2021-04-28,517.297607421875,520.1481103073232,481.45536010555435,481.45536010555435,85764540
2021-04-29,537.2757568359375,541.2087177948669,522.107233637401,524.0663602176538,72584860
2021-04-30,534.0481567382812,541.1745041789126,521.8819964085112,524.0664035941993,41248880
2021-05-03,543.770263671875,546.5963133166297,518.3114234474224,520.765234260658,40335910
2021-05-04,550.0982666015625,563.2439892142665,544.6371893016349,549.535005752189,48383470
2021-05-05,540.243896484375,558.3511106989337,534.0971125348053,556.6858410427975,43786930
2021-05-06,541.5809936523438,550.5048014863842,536.1493315778504,545.4208652715618,22231110
2021-05-07,538.1524658203125,549.8435508773428,534.6456126267944,547.5758595504832,18510330
2021-05-10,538.5149536132812,546.1065696032821,533.3722460071517,546.1065696032821,19973390
2021-05-11,531.3837280273438,534.6554960846059,527.9846717330713,530.0662439546535,16172480
2021-05-12,524.8892822265625,532.882493319724,522.0485244316109,530.2474653638183,15393360
2021-05-14,522.1415405273438,529.4540074737397,515.9360447723966,529.4540074737397,15257620
2021-05-17,531.9127197265625,537.7802947977424,520.6428382738696,524.0664074987108,24115830
2021-05-18,557.2490844726562,558.8408748699633,538.8577591978805,538.8577591978805,31478830
2021-05-19,551.6116943359375,560.5942732781933,548.0656798853868,555.8972838792772,22509060
2021-05-20,547.4534912109375,554.236955749258,543.1679013669691,551.2982655705367,14888270
2021-05-21,551.6655883789062,557.8613386453907,547.213489607387,554.4328668538914,18569660
2021-05-24,548.8395385742188,557.1756324116848,547.5759233516319,551.8860260909878,12150600
2021-05-25,550.3823852539062,554.315346690273,546.7923068833867,552.4737626982544,13155460
2021-05-26,565.3207397460938,567.6373976936653,547.1939136778467,552.473774918428,29167460
2021-05-27,556.607421875,566.3982119269015,553.5511892045935,566.1826769142481,21525900
2021-05-28,549.6085205078125,563.2489282473732,547.7816444196325,560.7020874434626,15263750
2021-05-31,551.2933349609375,554.8932182894104,544.6372187848972,550.514598843727,17958110
2021-06-01,566.6577758789062,569.9099333083112,551.0435340107047,552.8655672428237,28534510
2021-06-02,568.9940795898438,572.5548020824446,562.5191799239212,563.8856899865663,20131950
2021-06-03,578.08935546875,579.4117421231401,566.2023442278673,572.0650167369633,22303780
2021-06-04,587.0963745117188,588.7175805740072,577.9423835917875,579.4117286348175,24453670
2021-06-07,561.2653198242188,572.4421717914772,556.6320040361419,568.1467766810381,28358050
2021-06-08,563.77783203125,569.8119753534322,560.324907321205,563.3468217939512,17890070
2021-06-09,555.853271484375,567.656998670876,551.2297010785354,567.656998670876,15381120
2021-06-10,596.2015380859375,599.003075323823,556.0982063342332,559.8205356460586,52961200
2021-06-11,599.4927978515625,610.2679951985676,592.1656827876965,598.0577111709863,37027210
2021-06-14,606.7561645507812,612.1291145536817,585.3478283045667,594.565492417057,26336010
2021-06-15,603.5236206054688,611.2278762355272,602.4314171144714,609.190427660631,15236610
2021-06-16,595.7312622070312,603.4992527279458,593.8897379852843,601.4519388769254,14816580
2021-06-17,592.6603393554688,599.0029881273878,579.9015028150671,579.9015028150671,18718570
